Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Griffin Seibel","QUIN",,0.1,0,107.99999678134928,0,0,0,0.57142857,-0.57142857,0.5,14.999999552965177,0.5,0,161.99999517202392,49.29635648131375,112.70363869071016,"Griffin Seibel","sa3060540",
"Easton Ballard","SHSU",22,0.2,13.49999959766866,13.49999959766866,1,0,0.08333333,0.08333333,0,0.8,13.49999959766866,0.88888889,0.1,121.49999637901794,10.152067673206336,111.34792870581161,"Easton Ballard","sa3073680",
"Alex Willey","WIU",,0.1,0,53.99999839067464,0,26.99999919533732,0,0.25,-0.25,0.83333333,20.999999374151248,0.8,0.17857143,161.99999517202392,61.14055196642881,100.85944320559511,"Alex Willey","sa3076232",
"Luke Riha","TOL",19,0.1,0,0,0,0,0,0,0,0.75,8.999999731779106,0.75,0,107.99999678134928,13.627555769681937,94.37244101166735,"Luke Riha","sa3075840",
"Houston Wills","CAM",21,0.1,0,26.99999919533732,0,0,0,0.2,-0.2,0.66666667,8.999999731779106,0.66666667,0,107.99999678134928,22.28783477544786,85.71216200590142,"Houston Wills","sa3071629",
"David Ladjevic","SDSU",22,0.1,26.99999919533732,53.99999839067464,0.5,0,0.2,0.4,-0.2,0,5.999999821186071,0,-0.33333333,107.99999678134928,26.018133682012575,81.9818630993367,"David Ladjevic","sa3035839",
"Eric Osterhus","FOR",21,0.2,26.99999919533732,13.49999959766866,2,0,0.16666667,0.08333333,0.08333333,0.75,10.499999687075624,1,0.2,94.49999718368062,16.30935127735139,78.19064590632922,"Eric Osterhus","sa3070928",
"Luke Rolland","UAPB",,0.2,13.49999959766866,80.99999758601196,0.16666667,0,0.07692308,0.46153846,-0.38461539,0.33333333,10.499999687075624,0.5,0.18181818,121.49999637901794,47.254716289043465,74.24528008997447,"Luke Rolland","sa3041084",
"JB Landrum","UNO",,0.1,26.99999919533732,26.99999919533732,1,0,0.14285714,0.14285714,0,0.66666667,14.999999552965177,0.8,0,80.99999758601196,7.169508081674579,73.83048950433738,"JB Landrum","sa3075643",
"Anthony Roszko","VCU",22,0.1,26.99999919533732,80.99999758601196,0.33333333,0,0.2,0.6,-0.4,0,8.999999731779106,0,0,107.99999678134928,34.3093507409096,73.69064604043967,"Anthony Roszko","sa3071174",
"Ryan Klementowski","SBU",,0.1,0,53.99999839067464,0,26.99999919533732,0,0.25,-0.25,0.8,17.99999946355821,0.75,0.35714286,134.9999959766866,70.30934966802603,64.69064630866056,"Ryan Klementowski","sa3059699",
"Kadin Muckley","MIZ",23,0.1,0,53.99999839067464,0,0,0,0.33333333,-0.33333333,0.75,14.999999552965177,0.75,0.4,80.99999758601196,21.628945481777205,59.37105210423475,"Kadin Muckley","sa3075510",
"Austin Waring","FAU",,0.2,0,67.4999979883433,0,0,0,0.45454545,-0.45454545,0.5,10.499999687075624,0.5,0.22222222,94.49999718368062,35.39194556772712,59.1080516159535,"Austin Waring","sa3071560",
"Blake McElyea","JMU",19,0.1,0,53.99999839067464,0,0,0,0.4,-0.4,0.66666667,11.999999642372142,0.66666667,0.25,80.99999758601196,22.14558042287828,58.854417163133675,"Blake McElyea","sa3074360",
"Tom Wilkie","SBU",23,1.1,0,26.99999919533732,0,0,0,0.25,-0.25,0.42857143,5.249999843537812,0.42857143,0,80.99999758601196,24.559351031482237,56.44064655452972,"Tom Wilkie","sa3060921",
"Noah LaFine","VMI",20,0.1,26.99999919533732,80.99999758601196,0.33333333,0,0.25,0.75,-0.5,0,8.999999731779106,0,0,80.99999758601196,24.87438158392908,56.12561600208288,"Noah LaFine","sa3067253",
"Chase Jarnagin","COFC",,0.1,26.99999919533732,80.99999758601196,0.33333333,0,0.2,0.6,-0.4,0.5,11.999999642372142,1,0.25,80.99999758601196,25.287834686040895,55.71216289997106,"Chase Jarnagin","sa3034590",
"Emil Estrella","INST",,0.1,26.99999919533732,80.99999758601196,0.33333333,0,0.2,0.6,-0.4,0.5,11.999999642372142,1,0.25,80.99999758601196,25.42281631827356,55.577181267738396,"Emil Estrella","sa3059147",
"Connor McCaslin","UTM",,1,0,36,0,0,0,0.33333333,-0.33333333,0.42857143,7,0.42857143,-0.125,72,19.140553665161132,52.859446334838864,"Connor McCaslin","sa3070725",
"Jaxon Pridgen","TNTC",,0.1,26.99999919533732,53.99999839067464,0.5,26.99999919533732,0.2,0.4,-0.2,0.66666667,11.999999642372142,1,0,107.99999678134928,55.14055214524274,52.859444636106545,"Jaxon Pridgen","sa3065596",
"Jared Eckstein","USI",,0.2,13.49999959766866,13.49999959766866,1,0,0.125,0.125,0,0.6,5.999999821186071,0.75,0.16666667,67.4999979883433,14.640553352236758,52.85944463610654,"Jared Eckstein","sa3070007",
"Luke Elward","LMU",21,1.2,10.800000257492071,27.00000064373018,0.4,0,0.1,0.25,-0.15,0.61538462,7.800000185966496,0.72727273,0.06666667,64.80000154495242,14.613596110343938,50.18640543460849,"Luke Elward","sa3073947",
"Samuel Sherman","MRMK",22,0,0,27,0,0,0,0.42857143,-0.42857143,1,7,1,0,63,13.296357822418212,49.703642177581784,"Samuel Sherman","sa3042162",
"Dylan Izenman","MSM",,0.2,13.49999959766866,13.49999959766866,1,26.99999919533732,0.11111111,0.11111111,0,0.75,10.499999687075624,0.8,0,94.49999718368062,44.796356615424195,49.703640568256425,"Dylan Izenman","sa3070413",
"Ryan Prettol","HCU",21,0.2,13.49999959766866,0,1,0,0.14285714,0,0.14285714,0.66666667,5.999999821186071,0.8,0.2,53.99999839067464,5.6695081263780605,48.33049026429658,"Ryan Prettol","sa3074807",
"Ayden Alexander","GW",21,0.2,13.49999959766866,53.99999839067464,0.25,0,0.125,0.5,-0.375,0.33333333,7.499999776482588,0.5,0,67.4999979883433,23.80935105383398,43.69064693450932,"Ayden Alexander","sa3025875",
"Joey Gizmunt","DART",,0.1,0,53.99999839067464,0,0,0,0.4,-0.4,0,5.999999821186071,0,0.25,80.99999758601196,40.042300295829804,40.95769729018215,"Joey Gizmunt","sa3076289",
"Caden Marcum","OSU",22,0.2,13.49999959766866,67.4999979883433,0.2,0,0.125,0.625,-0.5,0,7.499999776482588,0,0.16666667,67.4999979883433,27.754845571517965,39.745152416825334,"Caden Marcum","sa3070676",
"Nolan Straniero","ARIZ",24,0.2,13.49999959766866,40.49999879300598,0.33333333,0,0.16666667,0.5,-0.33333333,0.33333333,5.999999821186071,0.5,0,53.99999839067464,14.546059963107119,39.45393842756752,"Nolan Straniero","sa3043209",
"Camden Kaufman","NMSU",22,0.2,13.49999959766866,26.99999919533732,0.5,0,0.125,0.25,-0.125,0.6,7.499999776482588,0.75,0.33333333,53.99999839067464,14.652067539095889,39.34793085157875,"Camden Kaufman","sa3059650",
"DeShawn Morgan","FAMU",20,0.2,13.49999959766866,107.99999678134928,0.125,0,0.08333333,0.66666667,-0.58333333,0.33333333,13.49999959766866,0.5,0.4,80.99999758601196,42.754716423153916,38.24528116285804,"DeShawn Morgan","sa3074378",
"Harssh Ramayanam Venkkat","BRWN",,0.1,0,80.99999758601196,0,26.99999919533732,0,0.5,-0.5,0.66666667,14.999999552965177,0.5,0.27777778,107.99999678134928,70.04229940176016,37.95769737958912,"Harssh Ramayanam Venkkat","sa3074403",
"Brad Curtis","SIE",,1.1,13.49999959766866,6.74999979883433,2,0,0.15384615,0.07692308,0.07692308,0.58333333,5.999999821186071,0.7,0.125,40.49999879300598,3.546357844769954,36.95364094823603,"Brad Curtis","sa3069892",
"Drew DeSanto","JOES",22,1,9,27,0.33333333,0,0.09090909,0.27272727,-0.18181818,0.5,6,0.6,0.25,54,17.309351634979247,36.69064836502075,"Drew DeSanto","sa3030189",
"Cooper Robinson","UTU",22,0.2,0,0,0,0,0,0,0,0.6,4.499999865889553,0.6,0,40.49999879300598,4.2311403274536135,36.26885846555236,"Cooper Robinson","sa3076374",
"Tyshon Patty","JKST",21,0.2,13.49999959766866,13.49999959766866,1,0,0.14285714,0.14285714,0,0.66666667,7.499999776482588,0.8,0.4,40.49999879300598,6.754717496037484,33.74528129696849,"Tyshon Patty","sa3039550",
"Andrew Hendrickx","BUT",22,1,9,18,0.5,0,0.125,0.25,-0.125,0.4,4,0.5,0,45,11.366921615600585,33.63307838439941,"Andrew Hendrickx","sa3033593",
"Eli Yamanaka","LMU",,1.1,13.49999959766866,26.99999919533732,0.5,0,0.13333333,0.26666667,-0.13333333,0.55555556,6.74999979883433,0.71428571,0.36363636,47.24999859184031,14.913595554232607,32.3364030376077,"Eli Yamanaka","sa3074967",
"Eli Walker","IU",24,1.1,6.74999979883433,26.99999919533732,0.25,13.49999959766866,0.06666667,0.26666667,-0.2,0.55555556,6.74999979883433,0.5,0.12195122,67.4999979883433,35.25484534800056,32.24515264034274,"Eli Walker","sa3075842",
"Bryce Hendricks","USA",21,0,0,27,0,0,0,0.6,-0.6,1,5,1,0,45,13.145580959320068,31.854419040679932,"Bryce Hendricks","sa3075129",
"Judah Buckner","TROY",25,0.1,0,53.99999839067464,0,0,0,0.25,-0.25,0.83333333,20.999999374151248,0.83333333,0.71428571,53.99999839067464,22.14558042287828,31.854417967796362,"Judah Buckner","sa3075949",
"Max Marchetti","NE",21,0.1,0,26.99999919533732,0,0,0,0.33333333,-0.33333333,0,2.9999999105930355,0,0,53.99999839067464,22.28783477544786,31.712163615226782,"Max Marchetti","sa3070675",
"Nick Hios","MONM",,1.1,0,33.74999899417165,0,0,0,0.38461538,-0.38461538,0.375,5.999999821186071,0.375,0.125,47.24999859184031,15.537834976613532,31.71216361522678,"Nick Hios","sa3033865",
"Jake Arnold","MSM",,1.2,16.200000386238106,10.800000257492071,1.5,0,0.2,0.13333333,0.06666667,0.33333333,3.0000000715255752,0.5,0,43.200001029968284,11.496357994079595,31.70364303588869,"Jake Arnold","sa3066291",
"Preston Tamm","MAN",,0.2,0,80.99999758601196,0,0,0,0.54545455,-0.54545455,0.5,11.999999642372142,0.5,0.33333333,67.4999979883433,35.79635688364509,31.703641104698207,"Preston Tamm","sa3062689",
"Koen Smith","FOR",21,3.1,13.50000032186509,35.10000083684923,0.38461538,0,0.14285714,0.37142857,-0.22857143,0.45,6.600000157356266,0.6,0.29166667,45.900001094341306,14.809351885318762,31.090649209022544,"Koen Smith","sa3042590",
"Harry Pelzman","UCSD",20,1,9,27,0.33333333,0,0.09090909,0.27272727,-0.18181818,0.57142857,7,0.66666667,0.375,45,14.037451934814452,30.962548065185548,"Harry Pelzman","sa3065109",
"Cade Waibel","BAY",21,2,13.5,22.5,0.6,9,0.14285714,0.23809524,-0.0952381,0.57142857,6.5,0.66666667,0.24590164,54,24.546060276031493,29.453939723968507,"Cade Waibel","sa3073831",
"Glenn Green III","SOU",24,0.2,13.49999959766866,26.99999919533732,0.5,0,0.2,0.4,-0.2,0.66666667,5.999999821186071,1,0.25,40.49999879300598,11.254717361927039,29.24528143107894,"Glenn Green III","sa3032656",
